date,price
05,72300
04,56400
09,36000
29,39600
08,58800
07,79200
06,72000
31,24000
30,31450
13,52800
11,59100
16,42000
28,50200
26,51650
12,73500
23,49800
14,48300
15,56700
17,45000
18,80700
02,57600
21,44000
24,46800
19,49200
25,81300
01,45900
03,37200
20,51900
22,55500
10,44400
27,37200
